month_of_year,index_value,is_provisional,note
1,1.0000,true,"Placeholder. Not a measurement - see D-44."
2,1.0000,true,"Placeholder. Not a measurement - see D-44."
3,1.0000,true,"Placeholder. Not a measurement - see D-44."
4,1.0000,true,"Placeholder. Not a measurement - see D-44."
5,1.0000,true,"Placeholder. Not a measurement - see D-44."
6,1.0000,true,"Placeholder. Not a measurement - see D-44."
7,1.0000,true,"Placeholder. Not a measurement - see D-44."
8,1.0000,true,"Placeholder. Not a measurement - see D-44."
9,1.0000,true,"Placeholder. Not a measurement - see D-44."
10,1.0000,true,"Placeholder. Not a measurement - see D-44."
11,1.0000,true,"Placeholder. Not a measurement - see D-44."
12,1.0000,true,"Placeholder. Not a measurement - see D-44."
