sku_code,product_name,line_code,variant,pack_size,mrp,shopify_base_price,usage_days,name_aliases
BC-014,Mamo Firm Cream 100gm,BREAST_CARE,100 gm,(1 Pack),1450,899,30,"Mamo Firm Cream|MAMO FIRM|Mamo firm cream|mamofirm cream"
BC-015,Mamo Firm Cream 100gm,BREAST_CARE,100 gm,(2 Pack),2500,,30,"Mamo Firm Cream 2 pack|Mamo Firm Combo"
BC-021,Mamo Plus 2 in 1 100gm,BREAST_CARE,100 gm,(1 Pack),1500,949,30,"Mamo Plus 2in1|Mamo Plus 2-in-1|mamo plus 2 in 1 cream"
BC-030,Mamo Plus Capsules 60cap,BREAST_CARE,60 capsule,(1 Pack),1600,899,30,"Mamo Plus Capsule|Mamo Firm Capsules|mamo capsule"
BC-044,B Reduce Cream 100gm,BREAST_CARE,100 gm,(1 Pack),1450,849,30,"B-Reduce Cream|B Reduce|breduce cream"
BC-050,B Reduce Combo,BREAST_CARE,combo,(2 Pack),2500,,30,"B Reduce Combo pack"
SW-007,Skinwise Pigmentation Cream 10ml,SKINWISE,10 ml,(1 Pack),1200,849,45,"Pigmentation Cream|Skinwise Pigmentation|skin wise pigmentation"
SW-012,Special Pigmentation Serum 50ml,SKINWISE,50 ml,(1 Pack),2000,,60,"Special Serum|Pigmentation Serum|skinwise special serum"
SW-018,Night Repair Serum 30ml,SKINWISE,30 ml,(1 Pack),1800,,45,"Night Repair|night serum"
SW-024,D-Tan Pack 100gm,SKINWISE,100 gm,(1 Pack),999,,45,"D Tan Pack|DTan pack|de tan pack"
SL-003,Geluslim Gel 100gm,SLIMMING_CARE,100 gm,(1 Pack),1300,899,30,"Gelu Slim|Geluslim|gelu slim gel"
SL-009,Lypo S Capsules 30cap,SLIMMING_CARE,30 capsule,(1 Pack),1000,,30,"Lypo S|LypoS Capsule|lipo s capsule"
SL-015,Detox Drink 200ml,SLIMMING_CARE,200 ml,(1 Pack),899,,30,"Detox Drink|detox juice"
IC-005,Vg Tone Gel 200gm,INTIMATE_CARE,200 gm,(1 Pack),1349,799,40,"VG Tone|Vg Tone Gel|vgtone gel"
IC-011,Niplyte Gel 50gm,INTIMATE_CARE,50 gm,(1 Pack),999,,40,"Niplyte|nip lyte gel"
FC-002,Face Glow Cream 50gm,FACE_CARE,50 gm,(1 Pack),899,,45,"Face Glow|glow cream"
FC-008,Anti Acne Gel 30gm,FACE_CARE,30 gm,(1 Pack),799,,45,"Anti Acne|acne gel"
HC-002,Keshghane Oil 100ml,HAIR_CARE,100 ml,(1 Pack),999,,45,"Keshghane|Kesh Ghane Oil|kesh ghane"
HC-009,Hair Fall Shampoo 200ml,HAIR_CARE,200 ml,(1 Pack),699,,45,"Hair Fall Shampoo|hairfall shampoo"
CU-001,Customised Kit,CUSTOMISATION,custom,(1 Pack),2500,,45,"Customization|Customised|custom kit"
